Uso_CPU,Uso_Memoria,Numero_Hilos,Tiempo_Ejecucion,Numero_Errores,Tipo_Proceso_Aplicación,Tipo_Proceso_Servicio,Tipo_Proceso_Sistema
-0.2105350623338588,-0.5292847679269372,-0.4166666666666667,-0.08812663914430771,0.6666666666666666,1.0,0.0,0.0
0.34345735503535063,0.45468456380776134,0.20833333333333334,0.8742470672505646,-0.3333333333333333,0.0,1.0,0.0
0.1384441933652357,-0.2418614034416771,0.16666666666666666,-0.8617825282084453,0.6666666666666666,0.0,0.0,1.0
-0.11084462983262054,0.007813972147827503,0.4583333333333333,-0.10705043529591143,1.0,0.0,1.0,0.0
-0.5808197478177201,0.14609580117108878,0.125,0.05563703631380675,0.6666666666666666,1.0,0.0,0.0
0.39203036092537996,-0.24836498646089128,0.4166666666666667,-0.9209724501589417,-0.3333333333333333,0.0,0.0,1.0
-0.2749754533030394,-0.12319668949440425,-0.4583333333333333,0.970810097855133,0.6666666666666666,0.0,1.0,0.0
0.6593050792265077,0.901931098725758,-0.7916666666666666,-0.37488268895192284,0.6666666666666666,0.0,0.0,1.0
-0.24380869756086693,0.36204825767558574,0.4166666666666667,-0.11165543580482505,0.0,1.0,0.0,0.0
0.298791574000213,0.009636164226930071,0.5,0.47959443364560855,-0.6666666666666666,0.0,0.0,1.0
-0.2879254625790335,0.95922865964884,-0.875,-0.8387695581352843,0.3333333333333333,0.0,0.0,1.0
-0.9090992747754916,0.01163095035724871,-0.6666666666666666,-0.19360784085447905,-0.6666666666666666,1.0,0.0,0.0
0.04871792110770894,0.7297766662723559,0.16666666666666666,0.5938099462721057,0.3333333333333333,0.0,0.0,1.0
0.18122881939215757,-0.334897895144317,-0.8333333333333334,0.0029673906353627016,0.3333333333333333,0.0,1.0,0.0
0.15434240165616947,-0.6392583889489943,-0.2916666666666667,-0.9789541269789507,0.0,0.0,0.0,1.0
0.10294756206288072,-0.6261174518228292,0.3333333333333333,0.6085120562800118,-1.3333333333333333,0.0,1.0,0.0
0.7297427258825375,0.018449865467019995,0.9166666666666666,-0.618262608718328,-0.6666666666666666,1.0,0.0,0.0
0.32839565827165773,-0.06414142942500048,-0.3333333333333333,0.21858811875970702,-0.3333333333333333,0.0,0.0,1.0
-0.14479976169387404,-0.06107404829245419,-0.4583333333333333,0.6938914726541072,0.3333333333333333,0.0,1.0,0.0
-0.19183714725364887,0.035801416733626155,0.3333333333333333,0.5838566600953399,-0.6666666666666666,0.0,1.0,0.0
0.25979140820527424,0.21555084450445033,-0.4583333333333333,-0.8367456646442544,-1.0,1.0,0.0,0.0
-0.022464546967223144,-0.082667018821354,0.875,0.2818600398622402,-0.6666666666666666,0.0,0.0,1.0
